symbol,start_date,end_date,digit_type,actual_frequencies,mad,entropy
WIFUSDT,2024-03-05-00:00,2024-03-06-00:00,first,"[0.08196721311475409, 0.16393442622950818, 0.13114754098360656, 0.21311475409836064, 0.13114754098360656, 0.09836065573770492, 0.09836065573770492, 0.03278688524590164, 0.04918032786885246]",0.0554633894615288,3.001080365924165
WIFUSDT,2024-03-05-00:00,2024-03-06-00:00,second,"[0.11475409836065574, 0.13114754098360656, 0.11475409836065574, 0.09836065573770492, 0.09836065573770492, 0.13114754098360656, 0.06557377049180328, 0.04918032786885246, 0.06557377049180328, 0.13114754098360656]",0.0207621062076791,3.257337232323152
WIFUSDT,2024-03-06-00:00,2024-03-07-00:00,first,"[0.2879944482997918, 0.18945176960444135, 0.13879250520471895, 0.10687022900763359, 0.08327550312283137, 0.07286606523247745, 0.055517002081887576, 0.031228313671061762, 0.034004163775156145]",0.0104862284048504,2.8396612418293325
WIFUSDT,2024-03-06-00:00,2024-03-07-00:00,second,"[0.11658570437196392, 0.12213740458015267, 0.09437890353920889, 0.11034004163775156, 0.0936849410131853, 0.10062456627342123, 0.09507286606523248, 0.08952116585704371, 0.09576682859125607, 0.08188757807078417]",0.0056200036690156,3.3118160927378573
WIFUSDT,2024-03-07-00:00,2024-03-08-00:00,first,"[0.2734212352532963, 0.1339347675225538, 0.11311589174184594, 0.0936849410131853, 0.10687022900763359, 0.08813324080499653, 0.06800832755031229, 0.054823039555863984, 0.06800832755031229]",0.0188473708455861,2.9864179020347534
WIFUSDT,2024-03-07-00:00,2024-03-08-00:00,second,"[0.12907702984038863, 0.12144344205412907, 0.10201249132546843, 0.0916030534351145, 0.10895211658570438, 0.09854267869535045, 0.0916030534351145, 0.09507286606523248, 0.08535739070090215, 0.07633587786259542]",0.0064362667793725,3.3053833070630128
WIFUSDT,2024-03-08-00:00,2024-03-09-00:00,first,"[0.3275503122831367, 0.1693268563497571, 0.12005551700208189, 0.0784177654406662, 0.07425399028452463, 0.06870229007633588, 0.05412907702984039, 0.06037473976405274, 0.04718945176960444]",0.0086511101312175,2.8405530662912466
WIFUSDT,2024-03-08-00:00,2024-03-09-00:00,second,"[0.12144344205412907, 0.11519777931991672, 0.11727966689798751, 0.10825815405968078, 0.10201249132546843, 0.09437890353920889, 0.09507286606523248, 0.09784871616932686, 0.07494795281054822, 0.07356002775850104]",0.0052715514661236,3.303728182547673
WIFUSDT,2024-03-09-00:00,2024-03-10-00:00,first,"[0.24705065926439973, 0.16585704371963914, 0.14226231783483692, 0.1054823039555864, 0.09090909090909091, 0.08396946564885496, 0.062456627342123525, 0.05898681471200555, 0.04302567661346287]",0.014876747929519,2.9713884748794865
WIFUSDT,2024-03-09-00:00,2024-03-10-00:00,second,"[0.11519777931991672, 0.12421929215822346, 0.12491325468424705, 0.10895211658570438, 0.10340041637751561, 0.08188757807078417, 0.0936849410131853, 0.08049965301873699, 0.08188757807078417, 0.08535739070090215]",0.0069611917534891,3.3017139962740805
WIFUSDT,2024-03-10-00:00,2024-03-11-00:00,first,"[0.2623178348369188, 0.16308119361554477, 0.12560721721027066, 0.11172796668979876, 0.10201249132546843, 0.08535739070090215, 0.0527411519777932, 0.05898681471200555, 0.03816793893129771]",0.0143472384214377,2.9459042624913336
WIFUSDT,2024-03-10-00:00,2024-03-11-00:00,second,"[0.12283136710617627, 0.10617626648161, 0.0922970159611381, 0.0916030534351145, 0.10062456627342123, 0.10687022900763359, 0.10201249132546843, 0.09576682859125607, 0.0916030534351145, 0.09021512838306732]",0.0073929653532323,3.3154589890379205
WIFUSDT,2024-03-11-00:00,2024-03-12-00:00,first,"[0.2685634975711312, 0.18112421929215822, 0.14087439278278974, 0.12491325468424705, 0.08813324080499653, 0.05759888965995836, 0.049271339347675226, 0.04510756419153366, 0.04441360166551006]",0.0128719672987842,2.8902294774862662
WIFUSDT,2024-03-11-00:00,2024-03-12-00:00,second,"[0.11103400416377515, 0.10617626648161, 0.1304649548924358, 0.11727966689798751, 0.10825815405968078, 0.09576682859125607, 0.09299097848716169, 0.09784871616932686, 0.07078417765440666, 0.06939625260235947]",0.010008048249156,3.297223127317653
WIFUSDT,2024-03-12-00:00,2024-03-13-00:00,first,"[0.2789729354614851, 0.17002081887578072, 0.1436502428868841, 0.11242192921582235, 0.08119361554476058, 0.07078417765440666, 0.05690492713393477, 0.04302567661346287, 0.04302567661346287]",0.0089051511127287,2.89544571003024
WIFUSDT,2024-03-12-00:00,2024-03-13-00:00,second,"[0.12283136710617627, 0.10201249132546843, 0.11103400416377515, 0.10964607911172797, 0.10062456627342123, 0.09299097848716169, 0.09437890353920889, 0.0916030534351145, 0.08952116585704371, 0.08535739070090215]",0.0031127738794497,3.3133270627182645
WIFUSDT,2024-03-13-00:00,2024-03-14-00:00,first,"[0.27966689798750866, 0.15405968077723803, 0.12768910478834142, 0.0922970159611381, 0.09784871616932686, 0.07494795281054822, 0.06731436502428868, 0.055517002081887576, 0.05065926439972242]",0.0106683717781853,2.9460994621831382
WIFUSDT,2024-03-13-00:00,2024-03-14-00:00,second,"[0.12907702984038863, 0.10825815405968078, 0.131852879944483, 0.09784871616932686, 0.08882720333102012, 0.08882720333102012, 0.10131852879944483, 0.08952116585704371, 0.08743927827897294, 0.07702984038861901]",0.0080745870397782,3.30115737912572
WIFUSDT,2024-03-14-00:00,2024-03-15-00:00,first,"[0.29770992366412213, 0.17557251908396945, 0.13948646773074255, 0.08327550312283137, 0.09299097848716169, 0.07147814018043026, 0.048577376821651634, 0.05343511450381679, 0.03747397640527411]",0.0078158680373848,2.8621529145240556
WIFUSDT,2024-03-14-00:00,2024-03-15-00:00,second,"[0.12213740458015267, 0.11311589174184594, 0.10340041637751561, 0.11034004163775156, 0.08952116585704371, 0.0936849410131853, 0.09299097848716169, 0.09646079111727966, 0.08119361554476058, 0.09715475364330327]",0.0053469641646702,3.31225321128937
WIFUSDT,2024-03-15-00:00,2024-03-16-00:00,first,"[0.2761970853573907, 0.20957668285912562, 0.16793893129770993, 0.1179736294240111, 0.07078417765440666, 0.047883414295628035, 0.03608605135322693, 0.04233171408743928, 0.031228313671061762]",0.0216776077575131,2.7838032686933447
WIFUSDT,2024-03-15-00:00,2024-03-16-00:00,second,"[0.12144344205412907, 0.11589174184594032, 0.10131852879944483, 0.09646079111727966, 0.1054823039555864, 0.09646079111727966, 0.09784871616932686, 0.08952116585704371, 0.09299097848716169, 0.08258154059680778]",0.003766963775646,3.313139235536522
WIFUSDT,2024-03-16-00:00,2024-03-17-00:00,first,"[0.3560027758501041, 0.1970853573907009, 0.10201249132546843, 0.05898681471200555, 0.055517002081887576, 0.05759888965995836, 0.056210964607911175, 0.0520471894517696, 0.06453851492019431]",0.0212539044189,2.748346715209394
WIFUSDT,2024-03-16-00:00,2024-03-17-00:00,second,"[0.131852879944483, 0.10687022900763359, 0.12005551700208189, 0.10756419153365718, 0.10825815405968078, 0.08882720333102012, 0.08813324080499653, 0.08466342817487855, 0.09021512838306732, 0.07356002775850104]",0.0074474574486361,3.301285779459133
WIFUSDT,2024-03-17-00:00,2024-03-18-00:00,first,"[0.3671061762664816, 0.18043025676613464, 0.09090909090909091, 0.07078417765440666, 0.06176266481609993, 0.06176266481609993, 0.05343511450381679, 0.05343511450381679, 0.06037473976405274]",0.019403337682837,2.753776382078919
WIFUSDT,2024-03-17-00:00,2024-03-18-00:00,second,"[0.1179736294240111, 0.1325468424705066, 0.11172796668979876, 0.10756419153365718, 0.10687022900763359, 0.09576682859125607, 0.0916030534351145, 0.08674531575294935, 0.07217210270645386, 0.07702984038861901]",0.0062719729579985,3.298799992149618
WIFUSDT,2024-03-18-00:00,2024-03-19-00:00,first,"[0.33726578764746706, 0.19430950728660654, 0.12283136710617627, 0.0798056904927134, 0.06384455239417071, 0.0527411519777932, 0.05690492713393477, 0.04233171408743928, 0.04996530187369882]",0.0130359670060966,2.7725252011788304
WIFUSDT,2024-03-18-00:00,2024-03-19-00:00,second,"[0.1311589174184594, 0.09854267869535045, 0.09576682859125607, 0.10340041637751561, 0.10895211658570438, 0.10201249132546843, 0.10340041637751561, 0.08674531575294935, 0.0916030534351145, 0.0784177654406662]",0.0079034998227164,3.3091717071709428
WIFUSDT,2024-03-19-00:00,2024-03-20-00:00,first,"[0.3795975017349063, 0.21165857043719638, 0.10062456627342123, 0.0777238029146426, 0.054823039555863984, 0.048577376821651634, 0.040249826509368494, 0.03747397640527411, 0.049271339347675226]",0.0261441480532089,2.6441640883921873
WIFUSDT,2024-03-19-00:00,2024-03-20-00:00,second,"[0.12352532963219987, 0.12352532963219987, 0.11866759195003469, 0.09784871616932686, 0.10201249132546843, 0.08952116585704371, 0.08674531575294935, 0.10340041637751561, 0.07633587786259542, 0.0784177654406662]",0.007616019274058,3.3018069385851896
WIFUSDT,2024-03-20-00:00,2024-03-21-00:00,first,"[0.39625260235947257, 0.19500346981263011, 0.09646079111727966, 0.06176266481609993, 0.0527411519777932, 0.056210964607911175, 0.048577376821651634, 0.0527411519777932, 0.040249826509368494]",0.0257163215517449,2.6423913851161305
